personnel_id,snapshot_month,training_module_id,training_module_name,training_status,completion_percentage,training_completion_date,training_due_date
P0006,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-07,2025-05-30
P0006,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0007,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-16,2025-05-30
P0007,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,35,,2025-05-30
P0007,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-30,2025-05-30
P0007,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-15,2025-05-30
P0008,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-06,2025-05-30
P0008,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-05,2025-05-30
P0008,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-24,2025-05-30
P0008,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-09,2025-05-30
P0009,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-04-30,2025-05-30
P0009,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-16,2025-05-30
P0009,2025-05,TRN003,Workplace Harassment Prevention,In Progress,48,,2025-05-30
P0009,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-18,2025-05-30
P0010,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-08,2025-05-30
P0010,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-26,2025-05-30
P0010,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-13,2025-05-30
P0010,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-30,2025-05-30
P0011,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-04-30,2025-05-30
P0011,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-04-30,2025-05-30
P0011,2025-05,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-05-30
P0011,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-04,2025-05-30
P0012,2025-05,TRN001,Annual Security Awareness,In Progress,35,,2025-05-30
P0012,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,21,,2025-05-30
P0012,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-16,2025-05-30
P0012,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-23,2025-05-30
P0013,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-29,2025-05-30
P0013,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-07,2025-05-30
P0013,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-19,2025-05-30
P0013,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0014,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-16,2025-05-30
P0014,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-29,2025-05-30
P0014,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-30,2025-05-30
P0014,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-30,2025-05-30
P0015,2025-05,TRN001,Annual Security Awareness,In Progress,38,,2025-05-30
P0015,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-22,2025-05-30
P0015,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-20,2025-05-30
P0015,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-12,2025-05-30
P0016,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-24,2025-05-30
P0016,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-09,2025-05-30
P0016,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-03,2025-05-30
P0016,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-16,2025-05-30
P0017,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-03,2025-05-30
P0017,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-17,2025-05-30
P0017,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-20,2025-05-30
P0017,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-04,2025-05-30
P0018,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-06,2025-05-30
P0018,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-04-30,2025-05-30
P0018,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-20,2025-05-30
P0018,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-10,2025-05-30
P0019,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-01,2025-05-30
P0019,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,60,,2025-05-30
P0019,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-06,2025-05-30
P0019,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,69,,2025-05-30
P0020,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-11,2025-05-30
P0020,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-21,2025-05-30
P0020,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-09,2025-05-30
P0020,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-11,2025-05-30
P0021,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-21,2025-05-30
P0021,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-22,2025-05-30
P0021,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-01,2025-05-30
P0021,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-12,2025-05-30
P0022,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-03,2025-05-30
P0022,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-03,2025-05-30
P0022,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-13,2025-05-30
P0022,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-05,2025-05-30
P0023,2025-05,TRN001,Annual Security Awareness,In Progress,30,,2025-05-30
P0023,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,57,,2025-05-30
P0023,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-16,2025-05-30
P0023,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-01,2025-05-30
P0024,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-02,2025-05-30
P0024,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-29,2025-05-30
P0024,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-13,2025-05-30
P0024,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-06,2025-05-30
P0025,2025-05,TRN001,Annual Security Awareness,In Progress,85,,2025-05-30
P0025,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-22,2025-05-30
P0025,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-08,2025-05-30
P0025,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-13,2025-05-30
P0026,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-09,2025-05-30
P0026,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-12,2025-05-30
P0026,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-03,2025-05-30
P0026,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-10,2025-05-30
P0027,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-22,2025-05-30
P0027,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-30,2025-05-30
P0027,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-01,2025-05-30
P0027,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-07,2025-05-30
P0028,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-27,2025-05-30
P0028,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-17,2025-05-30
P0028,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-19,2025-05-30
P0028,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-26,2025-05-30
P0029,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-16,2025-05-30
P0029,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-28,2025-05-30
P0029,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-19,2025-05-30
P0029,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-05,2025-05-30
P0030,2025-05,TRN001,Annual Security Awareness,In Progress,83,,2025-05-30
P0030,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-21,2025-05-30
P0030,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-14,2025-05-30
P0030,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-21,2025-05-30
P0031,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-07,2025-05-30
P0031,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-20,2025-05-30
P0031,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-26,2025-05-30
P0031,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-16,2025-05-30
P0032,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-05,2025-05-30
P0032,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-11,2025-05-30
P0032,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-11,2025-05-30
P0032,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-22,2025-05-30
P0033,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-12,2025-05-30
P0033,2025-05,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-05-30
P0033,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-24,2025-05-30
P0033,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,26,,2025-05-30
P0034,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-19,2025-05-30
P0034,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-02,2025-05-30
P0034,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-02,2025-05-30
P0034,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-26,2025-05-30
P0035,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-02,2025-05-30
P0035,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-12,2025-05-30
P0035,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-17,2025-05-30
P0035,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-06,2025-05-30
P0036,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-04-30,2025-05-30
P0036,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-28,2025-05-30
P0036,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-16,2025-05-30
P0036,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-10,2025-05-30
P0037,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-09,2025-05-30
P0037,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-21,2025-05-30
P0037,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-22,2025-05-30
P0037,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-28,2025-05-30
P0038,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-07,2025-05-30
P0038,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-25,2025-05-30
P0038,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-15,2025-05-30
P0038,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-30,2025-05-30
P0039,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-18,2025-05-30
P0039,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-17,2025-05-30
P0039,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-21,2025-05-30
P0039,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,33,,2025-05-30
P0040,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-16,2025-05-30
P0040,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-10,2025-05-30
P0040,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-08,2025-05-30
P0040,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0041,2025-05,TRN001,Annual Security Awareness,In Progress,31,,2025-05-30
P0041,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-09,2025-05-30
P0041,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-06,2025-05-30
P0041,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-18,2025-05-30
P0042,2025-05,TRN001,Annual Security Awareness,In Progress,86,,2025-05-30
P0042,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-12,2025-05-30
P0042,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-18,2025-05-30
P0042,2025-05,TRN004,Ethics & Compliance Fundamentals,Not Started,0,,2025-05-30
P0043,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-06,2025-05-30
P0043,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-17,2025-05-30
P0043,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-05,2025-05-30
P0043,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-20,2025-05-30
P0044,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-04,2025-05-30
P0044,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-11,2025-05-30
P0044,2025-05,TRN003,Workplace Harassment Prevention,In Progress,33,,2025-05-30
P0044,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,72,,2025-05-30
P0045,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-17,2025-05-30
P0045,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-24,2025-05-30
P0045,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-12,2025-05-30
P0045,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0046,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-15,2025-05-30
P0046,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-18,2025-05-30
P0046,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-30,2025-05-30
P0046,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0047,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-20,2025-05-30
P0047,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-12,2025-05-30
P0047,2025-05,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-05-30
P0047,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-05,2025-05-30
P0048,2025-05,TRN001,Annual Security Awareness,Not Started,0,,2025-05-30
P0048,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-30,2025-05-30
P0048,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-20,2025-05-30
P0048,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-26,2025-05-30
P0049,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-22,2025-05-30
P0049,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-04-30,2025-05-30
P0049,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-10,2025-05-30
P0049,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-05,2025-05-30
P0050,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-22,2025-05-30
P0050,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-04,2025-05-30
P0050,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-04-30,2025-05-30
P0050,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-20,2025-05-30
P0051,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-20,2025-05-30
P0051,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-26,2025-05-30
P0051,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-29,2025-05-30
P0051,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,63,,2025-05-30
P0052,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-17,2025-05-30
P0052,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-04,2025-05-30
P0052,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-11,2025-05-30
P0052,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-25,2025-05-30
P0053,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-15,2025-05-30
P0053,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,37,,2025-05-30
P0053,2025-05,TRN003,Workplace Harassment Prevention,In Progress,63,,2025-05-30
P0053,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,55,,2025-05-30
P0054,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-13,2025-05-30
P0054,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-04,2025-05-30
P0054,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-09,2025-05-30
P0054,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-09,2025-05-30
P0055,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-15,2025-05-30
P0055,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-09,2025-05-30
P0055,2025-05,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-05-30
P0055,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-04-30,2025-05-30
P0056,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-22,2025-05-30
P0056,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,53,,2025-05-30
P0056,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-21,2025-05-30
P0056,2025-05,TRN004,Ethics & Compliance Fundamentals,In Progress,54,,2025-05-30
P0057,2025-05,TRN001,Annual Security Awareness,In Progress,56,,2025-05-30
P0057,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-25,2025-05-30
P0057,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-02,2025-05-30
P0057,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-21,2025-05-30
P0058,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-15,2025-05-30
P0058,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-12,2025-05-30
P0058,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-04,2025-05-30
P0058,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-19,2025-05-30
P0059,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-23,2025-05-30
P0059,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-29,2025-05-30
P0059,2025-05,TRN003,Workplace Harassment Prevention,In Progress,60,,2025-05-30
P0059,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-09,2025-05-30
P0060,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-04-30,2025-05-30
P0060,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-23,2025-05-30
P0060,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-27,2025-05-30
P0060,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-11,2025-05-30
P0061,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-11,2025-05-30
P0061,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-26,2025-05-30
P0061,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-01,2025-05-30
P0061,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-10,2025-05-30
P0062,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-25,2025-05-30
P0062,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-02,2025-05-30
P0062,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-18,2025-05-30
P0062,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-03,2025-05-30
P0063,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-28,2025-05-30
P0063,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-16,2025-05-30
P0063,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-20,2025-05-30
P0063,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0064,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-04,2025-05-30
P0064,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-14,2025-05-30
P0064,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-01,2025-05-30
P0064,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-09,2025-05-30
P0065,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-18,2025-05-30
P0065,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,37,,2025-05-30
P0065,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-04-30,2025-05-30
P0065,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-02,2025-05-30
P0066,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-01,2025-05-30
P0066,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-30,2025-05-30
P0066,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-03,2025-05-30
P0066,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0067,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-21,2025-05-30
P0067,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-20,2025-05-30
P0067,2025-05,TRN003,Workplace Harassment Prevention,In Progress,68,,2025-05-30
P0067,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-10,2025-05-30
P0068,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-18,2025-05-30
P0068,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-23,2025-05-30
P0068,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-07,2025-05-30
P0068,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-17,2025-05-30
P0069,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-04-30,2025-05-30
P0069,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,63,,2025-05-30
P0069,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-26,2025-05-30
P0069,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-15,2025-05-30
P0070,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-30,2025-05-30
P0070,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-11,2025-05-30
P0070,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-27,2025-05-30
P0070,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-24,2025-05-30
P0071,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-09,2025-05-30
P0071,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-11,2025-05-30
P0071,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-07,2025-05-30
P0071,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-30,2025-05-30
P0072,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-17,2025-05-30
P0072,2025-05,TRN002,Data Protection Essentials (GDPR),In Progress,45,,2025-05-30
P0072,2025-05,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-05-30
P0072,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-24,2025-05-30
P0073,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-10,2025-05-30
P0073,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-07,2025-05-30
P0073,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-23,2025-05-30
P0073,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-02,2025-05-30
P0074,2025-05,TRN001,Annual Security Awareness,Completed,100,2025-05-02,2025-05-30
P0074,2025-05,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-05-01,2025-05-30
P0074,2025-05,TRN003,Workplace Harassment Prevention,Completed,100,2025-05-17,2025-05-30
P0074,2025-05,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-05-21,2025-05-30
